"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Ini", "comment", "blank", "total"
"d:\project\steam-mod-manager\README.md", "Markdown", 374, 0, 0, 0, 0, 0, 261, 635
"d:\project\steam-mod-manager\config\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 13, 33
"d:\project\steam-mod-manager\config\asset_runtime.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"d:\project\steam-mod-manager\config\debug.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"d:\project\steam-mod-manager\config\startup_runtime.json", "JSON", 0, 0, 8, 0, 0, 0, 9, 17
"d:\project\steam-mod-manager\core\__init__.py", "Python", 0, 25, 0, 0, 0, 1, 3, 29
"d:\project\steam-mod-manager\core\cas_runtime.py", "Python", 0, 44, 0, 0, 0, 15, 17, 76
"d:\project\steam-mod-manager\core\db_manager.py", "Python", 0, 4039, 0, 0, 0, 2495, 264, 6798
"d:\project\steam-mod-manager\core\debug_config.py", "Python", 0, 50, 0, 0, 0, 3, 22, 75
"d:\project\steam-mod-manager\core\game_info.py", "Python", 0, 34, 0, 0, 0, 3, 10, 47
"d:\project\steam-mod-manager\core\mod_platform.py", "Python", 0, 727, 0, 0, 0, 135, 126, 988
"d:\project\steam-mod-manager\core\mod_status.py", "Python", 0, 64, 0, 0, 0, 20, 14, 98
"d:\project\steam-mod-manager\core\models.py", "Python", 0, 161, 0, 0, 0, 59, 30, 250
"d:\project\steam-mod-manager\core\paths.py", "Python", 0, 216, 0, 0, 0, 90, 67, 373
"d:\project\steam-mod-manager\core\sanitize.py", "Python", 0, 50, 0, 0, 0, 21, 16, 87
"d:\project\steam-mod-manager\core\scanner.py", "Python", 0, 63, 0, 0, 0, 28, 21, 112
"d:\project\steam-mod-manager\core\scraper.py", "Python", 0, 143, 0, 0, 0, 6, 30, 179
"d:\project\steam-mod-manager\core\steam_api.py", "Python", 0, 809, 0, 0, 0, 73, 97, 979
"d:\project\steam-mod-manager\core\witcher3_game_version.py", "Python", 0, 107, 0, 0, 0, 39, 28, 174
"d:\project\steam-mod-manager\docs\ARCHIVE_FAILURE_DIAGNOSIS.md", "Markdown", 81, 0, 0, 0, 0, 0, 28, 109
"d:\project\steam-mod-manager\docs\ARCHIVE_PROXY_AND_UI_BLOCKING_DIAGNOSIS.md", "Markdown", 257, 0, 0, 0, 0, 0, 114, 371
"d:\project\steam-mod-manager\docs\ARCHIVE_PROXY_FLOW_DIAGNOSIS.md", "Markdown", 124, 0, 0, 0, 0, 0, 45, 169
"d:\project\steam-mod-manager\docs\DEPLOYMENT_ARCHITECTURE.md", "Markdown", 280, 0, 0, 0, 0, 0, 100, 380
"d:\project\steam-mod-manager\docs\DEPLOY_PRODUCTION_AUDIT.md", "Markdown", 88, 0, 0, 0, 0, 0, 48, 136
"d:\project\steam-mod-manager\docs\GAME_LIBRARY_DATA_AUDIT.md", "Markdown", 72, 0, 0, 0, 0, 0, 33, 105
"d:\project\steam-mod-manager\docs\GLOBAL_OPTIMIZATION_AUDIT.md", "Markdown", 410, 0, 0, 0, 0, 0, 131, 541
"d:\project\steam-mod-manager\docs\IMPORT_DESIGN_INVARIANTS.md", "Markdown", 33, 0, 0, 0, 0, 0, 11, 44
"d:\project\steam-mod-manager\docs\LIBRARY_STATUS_AUDIT.md", "Markdown", 51, 0, 0, 0, 0, 0, 20, 71
"d:\project\steam-mod-manager\docs\METADATA_BACKUP_LIFECYCLE_AUDIT.md", "Markdown", 77, 0, 0, 0, 0, 0, 28, 105
"d:\project\steam-mod-manager\docs\METADATA_RESOLVER_SIDE_EFFECT_AUDIT.md", "Markdown", 42, 0, 0, 0, 0, 0, 13, 55
"d:\project\steam-mod-manager\docs\MOD_GAME_VERSION_RULES.md", "Markdown", 58, 0, 0, 0, 0, 0, 32, 90
"d:\project\steam-mod-manager\docs\OFFLINE_ARCHIVE_PROGRESS_DIAGNOSIS.md", "Markdown", 185, 0, 0, 0, 0, 0, 72, 257
"d:\project\steam-mod-manager\docs\OFFLINE_PAGE_DIAGNOSIS.md", "Markdown", 106, 0, 0, 0, 0, 0, 42, 148
"d:\project\steam-mod-manager\docs\OFFLINE_PAGE_FETCH_AUDIT.md", "Markdown", 117, 0, 0, 0, 0, 0, 44, 161
"d:\project\steam-mod-manager\docs\P0_SYSTEM_HARDENING_PLAN.md", "Markdown", 180, 0, 0, 0, 0, 0, 88, 268
"d:\project\steam-mod-manager\docs\P0_VERIFICATION_PROTOCOL.md", "Markdown", 115, 0, 0, 0, 0, 0, 54, 169
"d:\project\steam-mod-manager\docs\SOURCE_AWARE_FILE_MODEL_AUDIT.md", "Markdown", 212, 0, 0, 0, 0, 0, 88, 300
"d:\project\steam-mod-manager\docs\UI_LIBRARY_REDESIGN_AUDIT.md", "Markdown", 595, 0, 0, 0, 0, 0, 138, 733
"d:\project\steam-mod-manager\docs\architecture\IDENTITY_LIFECYCLE_CONTRACT.md", "Markdown", 123, 0, 0, 0, 0, 0, 75, 198
"d:\project\steam-mod-manager\docs\architecture\identity_repair_architecture_report.md", "Markdown", 130, 0, 0, 0, 0, 0, 41, 171
"d:\project\steam-mod-manager\docs\architecture\identity_write_boundary_report.md", "Markdown", 78, 0, 0, 0, 0, 0, 40, 118
"d:\project\steam-mod-manager\docs\asset_architecture_audit.md", "Markdown", 98, 0, 0, 0, 0, 0, 38, 136
"d:\project\steam-mod-manager\docs\asset_final_whitebox_audit.md", "Markdown", 219, 0, 0, 0, 0, 0, 97, 316
"d:\project\steam-mod-manager\docs\asset_lifecycle_final_status.md", "Markdown", 70, 0, 0, 0, 0, 0, 32, 102
"d:\project\steam-mod-manager\docs\cache_layout.md", "Markdown", 45, 0, 0, 0, 0, 0, 18, 63
"d:\project\steam-mod-manager\docs\deployment_record_design.md", "Markdown", 54, 0, 0, 0, 0, 0, 33, 87
"d:\project\steam-mod-manager\docs\detail_cleanup_report.md", "Markdown", 80, 0, 0, 0, 0, 0, 31, 111
"d:\project\steam-mod-manager\docs\info_asset_usage_inventory.md", "Markdown", 24, 0, 0, 0, 0, 0, 18, 42
"d:\project\steam-mod-manager\docs\info_asset_write_audit.md", "Markdown", 56, 0, 0, 0, 0, 0, 26, 82
"d:\project\steam-mod-manager\docs\phase11_open_hardening.md", "Markdown", 64, 0, 0, 0, 0, 0, 21, 85
"d:\project\steam-mod-manager\docs\phase12_deleted_code_report.md", "Markdown", 40, 0, 0, 0, 0, 0, 18, 58
"d:\project\steam-mod-manager\docs\project_layout.md", "Markdown", 51, 0, 0, 0, 0, 0, 20, 71
"d:\project\steam-mod-manager\main.py", "Python", 0, 305, 0, 0, 0, 15, 74, 394
"d:\project\steam-mod-manager\pytest.ini", "Ini", 0, 0, 0, 0, 9, 0, 1, 10
"d:\project\steam-mod-manager\requirements.txt", "pip requirements", 0, 0, 0, 10, 0, 5, 3, 18
"d:\project\steam-mod-manager\scripts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"d:\project\steam-mod-manager\scripts\archive_diagnostics.py", "Python", 0, 332, 0, 0, 0, 1, 34, 367
"d:\project\steam-mod-manager\scripts\cleanup_test_library.py", "Python", 0, 255, 0, 0, 0, 24, 32, 311
"d:\project\steam-mod-manager\scripts\identity_governance.py", "Python", 0, 133, 0, 0, 0, 2, 22, 157
"d:\project\steam-mod-manager\scripts\identity_repair_preflight.py", "Python", 0, 564, 0, 0, 0, 3, 43, 610
"d:\project\steam-mod-manager\scripts\library_diagnostics.py", "Python", 0, 28, 0, 0, 0, 8, 10, 46
"d:\project\steam-mod-manager\scripts\migrate_legacy_mod_types.py", "Python", 0, 120, 0, 0, 0, 24, 15, 159
"d:\project\steam-mod-manager\services\__init__.py", "Python", 0, 14, 0, 0, 0, 1, 3, 18
"d:\project\steam-mod-manager\services\app_instance.py", "Python", 0, 57, 0, 0, 0, 15, 21, 93
"d:\project\steam-mod-manager\services\app_shutdown.py", "Python", 0, 122, 0, 0, 0, 6, 33, 161
"d:\project\steam-mod-manager\services\archive.py", "Python", 0, 2176, 0, 0, 0, 717, 242, 3135
"d:\project\steam-mod-manager\services\archive_extractor.py", "Python", 0, 371, 0, 0, 0, 11, 45, 427
"d:\project\steam-mod-manager\services\archive_observability.py", "Python", 0, 200, 0, 0, 0, 5, 25, 230
"d:\project\steam-mod-manager\services\asset_manifest.py", "Python", 0, 259, 0, 0, 0, 41, 40, 340
"d:\project\steam-mod-manager\services\asset_store.py", "Python", 0, 292, 0, 0, 0, 57, 50, 399
"d:\project\steam-mod-manager\services\background_asset_task.py", "Python", 0, 219, 0, 0, 0, 28, 32, 279
"d:\project\steam-mod-manager\services\backup_asset_migration.py", "Python", 0, 487, 0, 0, 0, 55, 67, 609
"d:\project\steam-mod-manager\services\backup_manager.py", "Python", 0, 754, 0, 0, 0, 128, 96, 978
"d:\project\steam-mod-manager\services\backup_manifest_debt.py", "Python", 0, 262, 0, 0, 0, 17, 33, 312
"d:\project\steam-mod-manager\services\backup_observability.py", "Python", 0, 124, 0, 0, 0, 1, 18, 143
"d:\project\steam-mod-manager\services\backup_storage_cleanup.py", "Python", 0, 436, 0, 0, 0, 29, 42, 507
"d:\project\steam-mod-manager\services\collection.py", "Python", 0, 272, 0, 0, 0, 45, 52, 369
"d:\project\steam-mod-manager\services\collection_cover.py", "Python", 0, 202, 0, 0, 0, 13, 41, 256
"d:\project\steam-mod-manager\services\conflict.py", "Python", 0, 436, 0, 0, 0, 57, 48, 541
"d:\project\steam-mod-manager\services\content_status_eval.py", "Python", 0, 115, 0, 0, 0, 31, 19, 165
"d:\project\steam-mod-manager\services\cover_cache.py", "Python", 0, 71, 0, 0, 0, 3, 19, 93
"d:\project\steam-mod-manager\services\cover_loader.py", "Python", 0, 400, 0, 0, 0, 53, 58, 511
"d:\project\steam-mod-manager\services\cover_projection.py", "Python", 0, 12, 0, 0, 0, 20, 4, 36
"d:\project\steam-mod-manager\services\crash_trace.py", "Python", 0, 120, 0, 0, 0, 9, 26, 155
"d:\project\steam-mod-manager\services\custom_deploy_path_stale.py", "Python", 0, 235, 0, 0, 0, 35, 33, 303
"d:\project\steam-mod-manager\services\deploy.py", "Python", 0, 3017, 0, 0, 0, 225, 226, 3468
"d:\project\steam-mod-manager\services\deploy_apply.py", "Python", 0, 283, 0, 0, 0, 52, 32, 367
"d:\project\steam-mod-manager\services\deploy_archive_errors.py", "Python", 0, 24, 0, 0, 0, 1, 3, 28
"d:\project\steam-mod-manager\services\deploy_archive_members.py", "Python", 0, 70, 0, 0, 0, 15, 17, 102
"d:\project\steam-mod-manager\services\deploy_conflict.py", "Python", 0, 70, 0, 0, 0, 13, 15, 98
"d:\project\steam-mod-manager\services\deploy_errors.py", "Python", 0, 44, 0, 0, 0, 12, 8, 64
"d:\project\steam-mod-manager\services\deploy_file_ops_log.py", "Python", 0, 34, 0, 0, 0, 1, 9, 44
